adrf_id,link,reason
adrf-000001,Unknown,
adrf-000002,Unknown,
adrf-000003,Unknown,
adrf-000004,Unknown,
adrf-000005,Unknown,
adrf-000006,Unknown,
adrf-000007,dataset-410,url match
adrf-000008,dataset-410,url match
adrf-000009,dataset-410,url match
adrf-000010,Unknown,
adrf-000011,Unknown,
adrf-000012,Unknown,
adrf-000013,Unknown,
adrf-000014,Unknown,
adrf-000015,Unknown,
adrf-000016,Unknown,
adrf-000017,Unknown,
adrf-000018,Unknown,
adrf-000019,dataset-392,title match
adrf-000020,dataset-393,title match
adrf-000021,Unknown,
adrf-000022,dataset-395,title match
adrf-000023,Unknown,
adrf-000024,dataset-397,title match
adrf-000025,dataset-398,title match
adrf-000026,Unknown,
adrf-000027,dataset-399,title match
adrf-000028,dataset-400,title match
adrf-000029,dataset-401,title match
adrf-000030,Unknown,
adrf-000031,dataset-403,title match
adrf-000032,dataset-404,title match
adrf-000033,dataset-405,title match
adrf-000034,Unknown,
adrf-000035,Unknown,
adrf-000036,Unknown,
adrf-000037,Unknown,
adrf-000038,False,data_provider id 14
adrf-000039,False,data_provider id 14
adrf-000040,False,data_provider id 14
adrf-000041,False,data_provider id 14
adrf-000042,False,data_provider id 14
adrf-000043,False,data_provider id 14
adrf-000044,False,data_provider id 14
adrf-000045,False,data_provider id 14
adrf-000046,False,data_provider id 14
adrf-000047,False,data_provider id 7
adrf-000048,False,data_provider id 7
adrf-000049,False,data_provider id 7
adrf-000050,False,data_provider id 7
adrf-000051,False,data_provider id 7
adrf-000052,False,data_provider id 7
adrf-000053,False,data_provider id 7
adrf-000054,dataset-406,title match
adrf-000055,Unknown,
adrf-000056,dataset-407,title match
adrf-000057,Unknown,
adrf-000058,Unknown,
adrf-000059,Unknown,
adrf-000060,Unknown,
adrf-000061,Unknown,
adrf-000062,Unknown,
adrf-000063,Unknown,
adrf-000064,Unknown,
adrf-000065,Unknown,
adrf-000066,dataset-410,url match
adrf-000067,dataset-410,url match
adrf-000068,dataset-410,url match
adrf-000069,Unknown,
adrf-000070,Unknown,
adrf-000071,False,data_provider id 6
adrf-000072,False,data_provider id 15
adrf-000073,Unknown,
adrf-000074,Unknown,
adrf-000075,False,data_provider id 29
adrf-000076,dataset-411,title match
adrf-000077,Unknown,
adrf-000078,Unknown,
adrf-000079,Unknown,
adrf-000080,False,data_provider id 6
adrf-000081,Unknown,
adrf-000082,Unknown,
adrf-000083,Unknown,
adrf-000084,Unknown,
adrf-000085,Unknown,
adrf-000086,False,data_provider id 44
adrf-000087,Unknown,
adrf-000088,Unknown,
adrf-000089,Unknown,
adrf-000090,Unknown,
adrf-000091,Unknown,
adrf-000092,Unknown,
adrf-000093,Unknown,
adrf-000094,Unknown,
adrf-000095,Unknown,
adrf-000096,False,data_provider id 30
adrf-000097,False,data_provider id 30
adrf-000098,Unknown,
adrf-000099,Unknown,
adrf-000100,dataset-416,url match
adrf-000101,False,data_provider id 18
adrf-000102,Unknown,
adrf-000103,Unknown,
adrf-000104,Unknown,
adrf-000105,False,data_provider id 6
adrf-000106,False,data_provider id 6
adrf-000115,dataset-417,url match
adrf-000116,dataset-418,url match
adrf-000117,True,inferred from usda_datadump.json
adrf-000118,True,inferred from usda_datadump.json
adrf-000119,Unknown,
adrf-000120,Unknown,
adrf-000121,Unknown,
adrf-000122,Unknown,
adrf-000132,Unknown,
adrf-000133,Unknown,
adrf_000134,True,inferred from usda_datadump.json
adrf_000135,True,inferred from usda_datadump.json
adrf-000136,Unknown,
adrf-000137,Unknown,
adrf-000139,Unknown,
adrf-000142,False,data_provider id 48
adrf-000144,False,data_provider id 48
adrf-000145,Unknown,
